ToolName,TOOL_ID,Run,DATA_QUALITY,EQPType,LOT_ID,LogicalRecipeID,LotPurposeType,LotType,MachineRecipeID,PhysicalRecipeID,PortID,ProcessOpNum,ProductGrpID,ProductID,RECIPE_ID,RouteID,Technology,WAFER_ID,OunhHslCRwIRilo,iezpXSIRyQ,GPTmghByqMSY,pZXcGFNpzPf,BmpcKiosIw,XnKsCBLOqH,GEErHMkWtLOrD,ATisLDMDDfZrI,ZhitvZfLGQzyC,SwpYipezsdueC,YiAwOaAhwskZcEfg,CxPgKZCqQsFtMQZdEkFTQ,EcBnlzqiTwFxSSBTvYsYOOaCax,UYmpqidlVJQGSXnENDNUVUTbp,QveHzspDQenotLMRwWdjK,tzEiBNrESroInUjAStFCzgiCYU,OeFBBIdvVlvVTeDufgEbQZtuB,TyPUktVeQlH,ArsbiQzICA,ueAWtcWKJJ,WLGtKKqZiN,YffEHvEJjM,TNfKYBQBdc,ETYSQPkJNbQsmWtwf,dCEQyYYpj,taQyPEGv,dSqlDZohVx,pIzvhgujbH,XAsiHMsvPv,RUNSjtpEAy,YATWcaRqpB,nJdvUmCcjI,NACdQXDDBP,NyUITkJtCGK,QesumGN,ETcatZBXS,RnVvcKsHhDEyb,tMqophNywoUtXsGZAeVHBvtFjuyM,WTcLPnkDtRwBuCou,CalcStepSeq,CalcLoopSeq,new_timestamp
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,155.0,0.98,1.0,1.0,4.3,311.0,120.0,134.0,156.0,139.0,4.0,3.0,0.0,7.0,5.87,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,208.0,2.47,0.738,4852.0,0.0,0.0,0.0,2.0,1001.0,2001.0,0.74,21.0,1800.0,81.0,1890.0,75.0,9.0,9.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,157.0,0.98,1.0,1.0,4.27,310.0,120.0,134.0,156.0,139.0,4.0,3.0,0.0,7.0,5.86,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.47,0.738,4852.0,1.0,0.0,0.0,2.0,1001.0,2000.0,0.74,21.0,4000.0,81.0,1890.0,75.0,9.0,9.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,158.0,0.98,1.0,1.0,4.24,311.0,120.0,134.0,156.0,139.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.01,207.0,2.47,0.738,4852.0,0.0,0.0,0.0,2.0,1001.0,2001.0,0.74,22.0,600.0,81.0,1890.0,75.0,10.0,10.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,157.0,0.98,1.0,1.0,4.21,316.0,120.0,134.0,156.0,139.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.01,207.0,2.47,0.738,4852.0,1.0,0.0,0.0,2.0,1001.0,2001.0,0.74,22.0,2700.0,81.0,1890.0,75.0,10.0,10.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,158.0,0.98,1.0,1.0,4.2,325.0,120.0,134.0,156.0,138.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.51,0.738,4852.0,1.0,0.0,0.0,2.0,1001.0,2003.0,0.74,23.0,1600.0,81.0,1890.0,75.0,11.0,11.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,157.0,0.98,1.0,1.0,4.19,326.0,120.0,134.0,156.0,138.0,7.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,206.0,2.51,0.738,4852.0,1.0,0.0,0.0,2.0,1001.0,2001.0,0.74,23.0,3800.0,81.0,1890.0,75.0,11.0,11.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,159.0,0.98,1.0,1.0,2.97,440.0,120.0,134.0,156.0,137.0,3.0,3.0,0.0,7.0,5.84,0.0,9.49,13.0,0.0,0.26,0.0,0.0,0.0,175.0,2.51,0.738,4852.0,0.0,0.0,0.0,2.0,181.0,491.0,0.74,24.0,1100.0,81.0,1890.0,75.0,12.0,12.0,2023-03-21
A,A,62301,63.49,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,1,160.0,0.98,1.0,1.0,1.52,387.0,120.0,134.0,155.0,137.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,0.0,0.06,0.0,0.0,0.01,135.0,2.51,0.738,4852.0,1.0,0.0,0.0,0.0,3.0,4.0,0.74,24.0,3400.0,81.0,1890.0,75.0,12.0,12.0,2023-03-21
A,A,62302,65.71,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,4,135.0,0.98,1.0,1.0,10.97,314.0,119.0,124.0,124.0,120.0,3.0,3.0,0.0,6.99,5.79,0.0,9.49,13.0,96.0,14.98,0.0,0.0,0.01,157.0,2.47,0.738,4853.0,1.0,0.0,162.0,27.0,964.0,1164.0,0.74,4.0,900.0,81.0,225.0,75.0,2.0,2.0,2023-03-21
A,A,62302,65.71,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,4,138.0,0.98,1.0,1.0,4.31,312.0,121.0,131.0,147.0,140.0,4.0,3.0,0.0,7.0,5.88,0.0,9.49,13.0,111.0,16.06,127.0,0.0,0.0,208.0,2.47,0.738,4853.0,1.0,0.0,0.0,4.0,1004.0,2003.0,0.74,21.0,1500.0,81.0,1890.0,75.0,10.0,10.0,2023-03-21
A,A,62302,65.71,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,4,16.0,0.98,1.0,1.0,4.22,310.0,121.0,131.0,147.0,139.0,4.0,3.0,0.0,7.0,5.86,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.51,0.738,4853.0,1.0,0.0,0.0,3.0,1004.0,2003.0,0.74,21.0,5400.0,81.0,1890.0,75.0,10.0,10.0,2023-03-21
A,A,62302,65.71,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,4,10.0,0.98,1.0,1.0,4.2,317.0,121.0,131.0,147.0,139.0,4.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.51,0.738,4853.0,1.0,0.0,0.0,2.0,1002.0,2003.0,0.74,22.0,1600.0,81.0,1890.0,75.0,11.0,11.0,2023-03-21
A,A,62302,65.71,A,A,A,Process Lot,Production,A,A,A,A,A,A,A,A,A,4,11.0,0.98,1.0,1.0,4.19,321.0,121.0,131.0,147.0,139.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,111.0,16.03,127.0,0.0,0.0,207.0,2.51,0.738,4853.0,1.0,0.0,0.0,2.0,1002.0,2003.0,0.74,22.0,3800.0,81.0,1890.0,75.0,11.0,11.0,2023-03-21
